case_id,k,out_real,out_imag,energy
14,37,-1101,-411,1381122
14,38,1104,-547,1518025
14,39,643,187,448418
14,40,-401,468,379825
14,41,1093,1176,2577625
14,42,-84,390,159156
14,43,-226,-991,1033157
14,44,981,104,973177
14,45,-172,674,483860
14,46,-1362,856,2587780
14,47,-1249,-536,1847297
14,48,-362,-1015,1161269
14,49,19,317,100850
14,50,207,-44,44785
14,51,-483,1401,2196090
14,52,855,-669,1178586
14,53,333,-585,453114
14,54,-709,239,559802
14,55,-1480,-154,2214116
14,56,-220,1170,1417300
14,57,1843,717,3910738
14,58,-248,-295,148529
14,59,1400,-2380,7624400
14,60,10,-1815,3294325
14,61,-623,-1380,2292529
14,62,2069,-1403,6249170
14,63,482,1372,2114708
15,0,5950,-2207,40273349
15,1,-361,-498,378325
15,2,6739,1185,46818346
15,3,-28,-4202,17657588
15,4,774,1806,3860712
15,5,681,372,602145
15,6,12932,-7401,222011425
15,7,2967,-8265,77113314
15,8,-2897,99,8402410
15,9,4757,-1309,24342530
15,10,-885,-51,785826
15,11,-2294,-836,5961332
15,12,3184,1185,11542081
15,13,-121,3657,13388290
15,14,1232,-4070,18082724
15,15,869,-4621,22108802
15,16,1638,-5229,30025485
15,17,1703,968,3837233
15,18,-8072,5193,92124433
15,19,3303,-2720,18308209
15,20,-4416,-10706,134119492
15,21,-5364,-6370,69349396
15,22,431,-4119,17151922
15,23,1169,-1666,4142117
15,24,-2537,-2250,11498869
15,25,3162,509,10257325
15,26,-5548,-1525,33105929
15,27,211,5209,27178202
15,28,1874,-498,3759880
15,29,-42,-1219,1487725
15,30,438,296,279460
15,31,19,216,47017
15,32,148,-1210,1486004
15,33,-475,-3,225634
15,34,-1947,-596,4146025
15,35,223,-788,670673
15,36,-450,-1062,1330344
15,37,287,333,193258
15,38,547,-654,726925
15,39,-1077,-836,1858825
15,40,-1683,-8,2832553
15,41,-296,-525,363241
15,42,306,-593,445285
15,43,286,-241,139877
15,44,585,551,645826
15,45,236,-948,954400
15,46,-801,-173,671530
15,47,-326,-1068,1246900
15,48,-1054,673,1563845
15,49,-183,871,792130
15,50,6,124,15412
15,51,-50,-678,462184
15,52,1137,-202,1333573
15,53,-206,-305,135461
